Station,Brand,Street,City,State,Regular_Price,Regular_Timestamp,Diesel_Price,Day_Type,Classification,Zip_Code
Gas Star Unbranded,Unbranded,500 N 5TH ST,Perkasie,PA,3.919,02APR2026,,Weekday,Urban,18944
JOES KWIK MARTS #1038 Joes Kwik Mart,Kwik Mart,515 DUBLIN PIKE,Perkasie,PA,4.199,02APR2026,5.999,Weekday,Urban,18944
WAWA #8129 Wawa,Unbranded,320 W ROUTE 312,Perkasie,PA,4.199,02APR2026,5.999,Weekday,Urban,18944
7-Eleven #40091 7-Eleven,7-Eleven,1100 S 10TH ST,Philadelphia,PA,4.199,02APR2026,5.999,Weekday,Urban,19175
7-ELEVEN #40143 7-Eleven,7-Eleven,2201 WALNUT ST,Philadelphia,PA,4.199,02APR2026,,Weekday,Urban,19175
7-ELEVEN #40195 7-Eleven,7-Eleven,2300 FAIRMOUNT AVE,Philadelphia,PA,4.199,02APR2026,,Weekday,Urban,19175
A PLUS MINI MARKET A Plus,A Plus,801 S BROAD ST,Philadelphia,PA,3.999,02APR2026,5.399,Weekday,Urban,19175
A PLUS MINI MARKET A Plus,A Plus,2101 S 17TH ST,Philadelphia,PA,3.999,02APR2026,,Weekday,Urban,19175
A PLUS MINI MARKET A Plus,A Plus,59 E OREGON AVE,Philadelphia,PA,4.199,02APR2026,6.199,Weekday,Urban,19175
A PLUS MINI MARKET A Plus,A Plus,1200 N BROAD ST,Philadelphia,PA,4.299,02APR2026,6.299,Weekday,Urban,19175
COLLEGE AVE SUNOCO Sunoco,Sunoco,900 W COLLEGE AVE,Philadelphia,PA,4.099,02APR2026,5.499,Weekday,Urban,19175
CONOCO Conoco,Conoco,2700 S 15TH ST,Philadelphia,PA,4.099,02APR2026,,Weekday,Urban,19175
CONOCO Conoco,Conoco,3349 GRAYS FERRY AVE,Philadelphia,PA,4.159,02APR2026,,Weekday,Urban,19175
EVANS GULF Gulf,Gulf,1101 SPRING GARDEN ST,Philadelphia,PA,4.299,02APR2026,6.799,Weekday,Urban,19175
GIRARD FOOD AND GAS MART Unbranded,Unbranded,1128 E SUSQUEHANNA AVE,Philadelphia,PA,4.199,02APR2026,,Weekday,Urban,19175
Joe's Kwik Mart #1039 Joes Kwik Mart,Kwik Mart,615 S BROAD ST,Philadelphia,PA,4.199,02APR2026,,Weekday,Urban,19175
JOES KWIK MARTS #1032 Joes Kwik Mart,Kwik Mart,3300 GRAYS FERRY AVE,Philadelphia,PA,4.159,02APR2026,5.999,Weekday,Urban,19175
KARCO Unbranded,Unbranded,1850 S COLUMBUS BLVD,Philadelphia,PA,3.579,02APR2026,5.479,Weekday,Urban,19175
LIBERTY Liberty,Liberty,1600 S COLUMBUS BLVD,Philadelphia,PA,4.199,02APR2026,6.199,Weekday,Urban,19175
LINNETTS GULF Gulf,Gulf,2201 SPRING GARDEN ST,Philadelphia,PA,4.299,02APR2026,,Weekday,Urban,19175
LUKOIL Lukoil,Lukoil,600 N DELAWARE AVE,Philadelphia,PA,4.599,02APR2026,,Weekday,Urban,19175
PASSYUNK CONOCO Conoco,Conoco,2101 W PASSYUNK AVE,Philadelphia,PA,4.199,02APR2026,,Weekday,Urban,19175
S AND B AUTO SERVICE Shell,Shell,1125 VINE ST,Philadelphia,PA,4.999,02APR2026,6.199,Weekday,Urban,19175
Sunoco Sunoco,Sunoco,601 W GIRARD AVE,Philadelphia,PA,4.799,02APR2026,6.999,Weekday,Urban,19175
7-ELEVEN #40069 7-Eleven,7-Eleven,200 WALNUT BOTTOM RD,Shippensburg,PA,4.199,02APR2026,5.899,Weekday,Urban,17257
GIANT #6061 Giant (Ahold),Giant,397 BALTIMORE RD,Shippensburg,PA,4.199,02APR2026,,Weekday,Urban,17257
J P LYTLE GULF Gulf,Gulf,500 E KING ST,Shippensburg,PA,4.199,02APR2026,5.899,Weekday,Urban,17257
RUTTERS #107 Rutters,Rutters,100 CRAMER RD,Shippensburg,PA,4.199,02APR2026,5.899,Weekday,Urban,17257
RUTTERS #31 Rutters,Rutters,1 AIRPORT RD,Shippensburg,PA,4.199,02APR2026,5.899,Weekday,Urban,17257
SHEETZ #070 Sheetz,Sheetz,359 E KING ST,Shippensburg,PA,4.199,02APR2026,6.299,Weekday,Urban,17257
SHEETZ #608 Sheetz,Sheetz,8000 OLDE SCOTLAND RD,Shippensburg,PA,4.199,02APR2026,5.899,Weekday,Urban,17257
SUNOCO Sunoco,Sunoco,92 W KING ST,Shippensburg,PA,3.999,02APR2026,,Weekday,Urban,17257
Sunoco Sunoco,Sunoco,8256 OLDE SCOTLAND RD,Shippensburg,PA,4.199,02APR2026,,Weekday,Urban,17257
SUNOCO Sunoco,Sunoco,92 W KING ST,Shippensburg,PA,3.999,02APR2026,,Weekday,Urban,17257
SUNOCO Sunoco,Sunoco,92 W KING ST,Shippensburg,PA,3.999,02APR2026,,Weekday,Urban,17257
TURKEY HILL #950283 Turkey Hill,Turkey Hill,209 W KING ST,Shippensburg,PA,4.199,02APR2026,,Weekday,Urban,17257
BOBS SERVICE Unbranded,Unbranded,1198 BALTIMORE PIKE,Springfield,PA,4.199,02APR2026,,Weekday,Urban,19086
MANOS GULF Gulf,Gulf,523 S CHESTER RD,Swarthmore,PA,4.199,02APR2026,,Weekday,Urban,19086
7-ELEVEN #35959 7-Eleven,7-Eleven,3 FAYETTE AVE,Belle Vernon,PA,4.199,02APR2026,,Weekday,Urban,15072
SUNOCO Sunoco,Sunoco,15 FAYETTE AVE,Belle Vernon,PA,4.159,02APR2026,5.899,Weekday,Urban,15072
Sunoco Sunoco,Sunoco,900 ROSTRAVER RD,Belle Vernon,PA,4.199,02APR2026,6.599,Weekday,Urban,15072
