Station,Brand,Street,City,State,Regular_Price,Regular_Timestamp,Diesel_Price,Day_Type,Classification,Zip_Code
WEIS MARKETS Gas N Go (Weis),Weis,431 W DUBLIN PIKE,Perkasie,PA,3.959,01APR2026,,Weekday,Urban,18944
US GAS Unbranded,Unbranded,401 E WALNUT ST,Perkasie,PA,4.059,01APR2026,,Weekday,Urban,18944
WEIS MARKETS Gas N Go (Weis),Weis,431 W DUBLIN PIKE,Perkasie,PA,3.959,01APR2026,,Weekday,Urban,18944
7-Eleven #40091 7-Eleven,7-Eleven,1100 S 10TH ST,Philadelphia,PA,4.199,01APR2026,5.999,Weekday,Urban,19175
7-ELEVEN #40143 7-Eleven,7-Eleven,2201 WALNUT ST,Philadelphia,PA,4.199,01APR2026,,Weekday,Urban,19175
7-ELEVEN #40195 7-Eleven,7-Eleven,2300 FAIRMOUNT AVE,Philadelphia,PA,4.199,01APR2026,,Weekday,Urban,19175
A PLUS MINI MARKET A Plus,A Plus,801 S BROAD ST,Philadelphia,PA,3.999,01APR2026,5.399,Weekday,Urban,19175
A PLUS MINI MARKET A Plus,A Plus,2101 S 17TH ST,Philadelphia,PA,3.999,01APR2026,,Weekday,Urban,19175
A PLUS MINI MARKET A Plus,A Plus,59 E OREGON AVE,Philadelphia,PA,4.159,01APR2026,6.199,Weekday,Urban,19175
A PLUS MINI MARKET A Plus,A Plus,1300 N BROAD ST,Philadelphia,PA,4.299,01APR2026,6.299,Weekday,Urban,19175
ARAMINGO EXXON Exxon,Exxon,2330 ARAMINGO AVE,Philadelphia,PA,4.099,01APR2026,,Weekday,Urban,19175
COLLEGE AVE SUNOCO Sunoco,Sunoco,900 W COLLEGE AVE,Philadelphia,PA,4.099,01APR2026,5.499,Weekday,Urban,19175
CONOCO Conoco,Conoco,2700 S 15TH ST,Philadelphia,PA,4.099,01APR2026,,Weekday,Urban,19175
CONOCO Conoco,Conoco,3349 GRAYS FERRY AVE,Philadelphia,PA,4.159,01APR2026,,Weekday,Urban,19175
D AND J BP BP,BP,401 W OREGON AVE,Philadelphia,PA,4.299,01APR2026,6.199,Weekday,Urban,19175
EVANS GULF Gulf,Gulf,1101 SPRING GARDEN ST,Philadelphia,PA,4.299,01APR2026,6.799,Weekday,Urban,19175
GIRARD FOOD AND GAS MART Unbranded,Unbranded,1138 E SUSQUEHANNA AVE,Philadelphia,PA,4.199,01APR2026,,Weekday,Urban,19175
Joe's Kwik Mart #1039 Joes Kwik Mart,Kwik Mart,615 S BROAD ST,Philadelphia,PA,4.199,01APR2026,,Weekday,Urban,19175
JOES KWIK MARTS #1042 Joes Kwik Mart,Kwik Mart,3300 GRAYS FERRY AVE,Philadelphia,PA,4.159,01APR2026,5.999,Weekday,Urban,19175
KARCO Unbranded,Unbranded,1850 S COLUMBUS BLVD,Philadelphia,PA,3.579,01APR2026,,Weekday,Urban,19175
LIBERTY Liberty,Liberty,1600 S COLUMBUS BLVD,Philadelphia,PA,4.199,01APR2026,6.199,Weekday,Urban,19175
LINNETTS GULF Gulf,Gulf,2201 SPRING GARDEN ST,Philadelphia,PA,4.299,01APR2026,,Weekday,Urban,19175
LUKOIL Lukoil,Lukoil,2101 S 11TH ST,Philadelphia,PA,4.159,01APR2026,,Weekday,Urban,19175
RIDGE GAS Phillips 66,Phillips 66,2300 RIDGE AVE,Philadelphia,PA,4.299,01APR2026,,Weekday,Urban,19175
